marca,ano,modelo,carro_vibrando,vibrando_parado_movimento,vibrando_movimento,vibra_pisar_freio,vibra_aumenta_maiores_velocidades,vibra_velocidades_menones,vibra_velocidades_maiores,problema
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,1,0,0,16
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,1,0,0,0,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,0,0,0,1,3
chevrolet,2018,Onix,1,0,1,1,0,0,0,3
